# RT Interface segments extracted from VTK
# Format: x1 y1 x2 y2
# Number of segments: 2914
0.35374999 0.19384713 0.35306031 0.19624999
0.35377923 0.19374999 0.35374999 0.19384713
0.37625000 0.19556805 0.37543273 0.19624999
0.37875000 0.19503854 0.37625000 0.19556805
0.38124999 0.19506247 0.37875000 0.19503854
0.38374999 0.19527146 0.38124999 0.19506247
0.38472852 0.19624999 0.38374999 0.19527146
0.00289232 0.19624999 0.00247297 0.19875000
0.01125000 0.19713934 0.01000889 0.19875000
0.01375000 0.19868998 0.01125000 0.19713934
0.01383583 0.19875000 0.01375000 0.19868998
0.01818950 0.19624999 0.01875000 0.19729021
0.01945194 0.19875000 0.01875000 0.19729021
0.05375000 0.19809021 0.05306196 0.19875000
0.05625000 0.19775482 0.05375000 0.19809021
0.05875000 0.19722036 0.05625000 0.19775482
0.06125000 0.19778328 0.05875000 0.19722036
0.06208812 0.19875000 0.06125000 0.19778328
0.14125000 0.19773750 0.13888915 0.19875000
0.14375000 0.19737886 0.14125000 0.19773750
0.14517798 0.19875000 0.14375000 0.19737886
0.25265673 0.19624999 0.25375000 0.19829832
0.25580484 0.19875000 0.25375000 0.19829832
0.25874999 0.19863167 0.25732031 0.19875000
0.26124999 0.19746387 0.25874999 0.19863167
0.26281554 0.19624999 0.26124999 0.19746387
0.27595520 0.19624999 0.27588645 0.19875000
0.27875000 0.19799814 0.27778804 0.19875000
0.27962282 0.19624999 0.27875000 0.19799814
0.28607774 0.19624999 0.28625000 0.19642225
0.28874999 0.19746730 0.28625000 0.19642225
0.28996730 0.19624999 0.28874999 0.19746730
0.34797475 0.19624999 0.34773931 0.19875000
0.35306031 0.19624999 0.35302404 0.19875000
0.37375000 0.19734618 0.37135422 0.19875000
0.37543273 0.19624999 0.37375000 0.19734618
0.38472852 0.19624999 0.38624999 0.19780469
0.38719529 0.19875000 0.38624999 0.19780469
0.00247297 0.19875000 0.00234585 0.20125000
0.01000889 0.19875000 0.01125000 0.20116538
0.01133346 0.20125000 0.01125000 0.20116538
0.01383583 0.19875000 0.01625000 0.20115186
0.01661105 0.20125000 0.01625000 0.20115186
0.01945194 0.19875000 0.01911961 0.20125000
0.05125000 0.20003745 0.04980907 0.20125000
0.05306196 0.19875000 0.05125000 0.20003745
0.05625000 0.20099723 0.05603490 0.20125000
0.05642186 0.20125000 0.05625000 0.20099723
0.06208812 0.19875000 0.06257264 0.20125000
0.10625000 0.20118453 0.10618453 0.20125000
0.10875000 0.19942029 0.10625000 0.20118453
0.11125000 0.19924726 0.10875000 0.19942029
0.11375000 0.19908513 0.11125000 0.19924726
0.11504086 0.20125000 0.11375000 0.19908513
0.13875000 0.19899535 0.13814312 0.20125000
0.13888915 0.19875000 0.13875000 0.19899535
0.14517798 0.19875000 0.14624999 0.20120062
0.14630502 0.20125000 0.14624999 0.20120062
0.19374999 0.19994399 0.19210279 0.20125000
0.19624999 0.19993477 0.19374999 0.19994399
0.19841388 0.20125000 0.19624999 0.19993477
0.20125000 0.20011175 0.19913684 0.20125000
0.20375000 0.19997549 0.20125000 0.20011175
0.20499860 0.20125000 0.20375000 0.19997549
0.25580484 0.19875000 0.25624999 0.19883940
0.25732031 0.19875000 0.25624999 0.19883940
0.27588645 0.19875000 0.27625000 0.19999942
0.27778804 0.19875000 0.27625000 0.19999942
0.34773931 0.19875000 0.34806728 0.20125000
0.35302404 0.19875000 0.35374999 0.19954574
0.35486913 0.20125000 0.35374999 0.19954574
0.37135422 0.19875000 0.37375000 0.20045704
0.37625000 0.19989544 0.37375000 0.20045704
0.37875000 0.19960435 0.37625000 0.19989544
0.38057396 0.20125000 0.37875000 0.19960435
0.38719529 0.19875000 0.38777819 0.20125000
0.00234585 0.20125000 0.00249974 0.20375000
0.00875000 0.20294139 0.00794138 0.20375000
0.01125000 0.20133348 0.00875000 0.20294139
0.01133346 0.20125000 0.01125000 0.20133348
0.01625000 0.20250306 0.01618038 0.20375000
0.01661105 0.20125000 0.01875000 0.20344807
0.01762534 0.20375000 0.01625000 0.20250306
0.01911961 0.20125000 0.01875000 0.20344807
0.04875000 0.20362265 0.04866666 0.20375000
0.04980907 0.20125000 0.04875000 0.20362265
0.05375000 0.20213377 0.05249196 0.20375000
0.05603490 0.20125000 0.05375000 0.20213377
0.05642186 0.20125000 0.05875000 0.20286067
0.06055163 0.20375000 0.05875000 0.20286067
0.06257264 0.20125000 0.06173434 0.20375000
0.10618453 0.20125000 0.10520162 0.20375000
0.11125000 0.20217410 0.10995022 0.20375000
0.11375000 0.20249364 0.11125000 0.20217410
0.11504086 0.20125000 0.11625000 0.20235692
0.11490372 0.20375000 0.11375000 0.20249364
0.11729633 0.20375000 0.11625000 0.20235692
0.13814312 0.20125000 0.13875000 0.20216607
0.14125000 0.20169793 0.13875000 0.20216607
0.14264046 0.20375000 0.14125000 0.20169793
0.14630502 0.20125000 0.14772664 0.20375000
0.19210279 0.20125000 0.19145712 0.20375000
0.19841388 0.20125000 0.19875000 0.20158613
0.19913684 0.20125000 0.19875000 0.20158613
0.20499860 0.20125000 0.20625000 0.20250167
0.20749843 0.20375000 0.20625000 0.20250167
0.34806728 0.20125000 0.34875000 0.20318939
0.34906927 0.20375000 0.34875000 0.20318939
0.35486913 0.20125000 0.35548899 0.20375000
0.38057396 0.20125000 0.38124999 0.20283060
0.38169342 0.20375000 0.38124999 0.20283060
0.38777819 0.20125000 0.38874999 0.20236340
0.38985479 0.20375000 0.38874999 0.20236340
0.00249974 0.20375000 0.00225441 0.20625000
0.00625000 0.20529731 0.00529607 0.20625000
0.00794138 0.20375000 0.00875000 0.20472282
0.00737667 0.20625000 0.00625000 0.20529731
0.00984940 0.20625000 0.00875000 0.20472282
0.01618038 0.20375000 0.01514319 0.20625000
0.01762534 0.20375000 0.01710189 0.20625000
0.04866666 0.20375000 0.04875000 0.20400392
0.05006465 0.20625000 0.04875000 0.20400392
0.05249196 0.20375000 0.05178929 0.20625000
0.05875000 0.20438567 0.05660453 0.20625000
0.06055163 0.20375000 0.06125000 0.20444590
0.06061200 0.20625000 0.05875000 0.20438567
0.06173434 0.20375000 0.06125000 0.20444590
0.10520162 0.20375000 0.10510764 0.20625000
0.10995022 0.20375000 0.10955953 0.20625000
0.11490372 0.20375000 0.11508667 0.20625000
0.11729633 0.20375000 0.11843101 0.20625000
0.13875000 0.20567600 0.13834995 0.20625000
0.14125000 0.20585538 0.13875000 0.20567600
0.14264046 0.20375000 0.14125000 0.20585538
0.14772664 0.20375000 0.14800896 0.20625000
0.19145712 0.20375000 0.19157909 0.20625000
0.20749843 0.20375000 0.20874999 0.20500015
0.21125001 0.20603308 0.20874999 0.20500015
0.21155861 0.20625000 0.21125001 0.20603308
0.34906927 0.20375000 0.35124999 0.20544168
0.35256007 0.20625000 0.35124999 0.20544168
0.35548899 0.20375000 0.35488290 0.20625000
0.38169342 0.20375000 0.38184404 0.20625000
0.38985479 0.20375000 0.38970518 0.20625000
0.00225441 0.20625000 0.00251695 0.20874999
0.00529607 0.20625000 0.00598232 0.20874999
0.00737667 0.20625000 0.00658628 0.20874999
0.00984940 0.20625000 0.00982197 0.20874999
0.01514319 0.20625000 0.01527786 0.20874999
0.01710189 0.20625000 0.01674721 0.20874999
0.03125000 0.20797253 0.03041168 0.20874999
0.03375000 0.20812696 0.03125000 0.20797253
0.03625000 0.20816146 0.03375000 0.20812696
0.03708285 0.20874999 0.03625000 0.20816146
0.05006465 0.20625000 0.05125000 0.20868599
0.05178929 0.20625000 0.05125000 0.20868599
0.05660453 0.20625000 0.05702106 0.20874999
0.06061200 0.20625000 0.06125000 0.20688799
0.06256261 0.20874999 0.06125000 0.20688799
0.10510764 0.20625000 0.10625000 0.20849693
0.10875000 0.20855777 0.10625000 0.20849693
0.10955953 0.20625000 0.10875000 0.20855777
0.11508667 0.20625000 0.11499289 0.20874999
0.11843101 0.20625000 0.11875000 0.20656908
0.11970822 0.20874999 0.11875000 0.20656908
0.13834995 0.20625000 0.13716155 0.20874999
0.14800896 0.20625000 0.14766736 0.20874999
0.19157909 0.20625000 0.19230655 0.20874999
0.21155861 0.20625000 0.21375000 0.20726010
0.21499838 0.20874999 0.21375000 0.20726010
0.22125000 0.20762447 0.21875328 0.20874999
0.22375000 0.20740642 0.22125000 0.20762447
0.22624999 0.20750153 0.22375000 0.20740642
0.22875001 0.20795962 0.22624999 0.20750153
0.22987713 0.20874999 0.22875001 0.20795962
0.35256007 0.20625000 0.35374999 0.20685880
0.35488290 0.20625000 0.35374999 0.20685880
0.38124999 0.20778105 0.38083813 0.20874999
0.38184404 0.20625000 0.38124999 0.20778105
0.38970518 0.20625000 0.38923669 0.20874999
0.00251695 0.20874999 0.00232369 0.21125001
0.00598232 0.20874999 0.00625000 0.20901118
0.00658628 0.20874999 0.00625000 0.20901118
0.00982197 0.20874999 0.00989177 0.21125001
0.01527786 0.20874999 0.01625000 0.20927395
0.01674721 0.20874999 0.01625000 0.20927395
0.02875000 0.21041125 0.02784331 0.21125001
0.03041168 0.20874999 0.03125000 0.20993139
0.02993187 0.21125001 0.02875000 0.21041125
0.03375000 0.20963794 0.03125000 0.20993139
0.03625000 0.21036439 0.03375000 0.20963794
0.03708285 0.20874999 0.03875000 0.21028972
0.03701318 0.21125001 0.03625000 0.21036439
0.03971838 0.21125001 0.03875000 0.21028972
0.05702106 0.20874999 0.05872901 0.21125001
0.06256261 0.20874999 0.06251246 0.21125001
0.07125000 0.21068850 0.07035173 0.21125001
0.07375000 0.21059740 0.07125000 0.21068850
0.07625000 0.21081571 0.07375000 0.21059740
0.07680327 0.21125001 0.07625000 0.21081571
0.10625000 0.21012802 0.10544798 0.21125001
0.10638530 0.21125001 0.10625000 0.21012802
0.11499289 0.20874999 0.11480927 0.21125001
0.11970822 0.20874999 0.11947420 0.21125001
0.13716155 0.20874999 0.13641603 0.21125001
0.14766736 0.20874999 0.14664137 0.21125001
0.19230655 0.20874999 0.19374999 0.21079217
0.19417343 0.21125001 0.19374999 0.21079217
0.21499838 0.20874999 0.21625000 0.21000047
0.21749881 0.21125001 0.21625000 0.21000047
0.21875328 0.20874999 0.22026366 0.21125001
0.22987713 0.20874999 0.23125000 0.20996931
0.23361576 0.21125001 0.23125000 0.20996931
0.30375001 0.21100424 0.30206007 0.21125001
0.30625001 0.21082357 0.30375001 0.21100424
0.30875000 0.20931324 0.30625001 0.21082357
0.31125000 0.20988952 0.30875000 0.20931324
0.31273016 0.21125001 0.31125000 0.20988952
0.38083813 0.20874999 0.38072196 0.21125001
0.38874999 0.21008396 0.38804299 0.21125001
0.38923669 0.20874999 0.38874999 0.21008396
0.00232369 0.21125001 0.00347358 0.21375000
0.00989177 0.21125001 0.01008001 0.21375000
0.02784331 0.21125001 0.02875000 0.21366785
0.02993187 0.21125001 0.02875000 0.21366785
0.03701318 0.21125001 0.03875000 0.21362779
0.03971838 0.21125001 0.03875000 0.21362779
0.05872901 0.21125001 0.05875000 0.21131894
0.05932581 0.21375000 0.05875000 0.21131894
0.06251246 0.21125001 0.06256603 0.21375000
0.07035173 0.21125001 0.07026260 0.21375000
0.07680327 0.21125001 0.07725410 0.21375000
0.10544798 0.21125001 0.10596514 0.21375000
0.10638530 0.21125001 0.10721271 0.21375000
0.11480927 0.21125001 0.11625000 0.21200854
0.11875000 0.21295074 0.11625000 0.21200854
0.11947420 0.21125001 0.11875000 0.21295074
0.13625000 0.21144032 0.13522035 0.21375000
0.13641603 0.21125001 0.13625000 0.21144032
0.14624999 0.21348126 0.14620303 0.21375000
0.14664137 0.21125001 0.14624999 0.21348126
0.15625000 0.21290289 0.15516421 0.21375000
0.15875000 0.21276389 0.15625000 0.21290289
0.16125000 0.21279582 0.15875000 0.21276389
0.16232258 0.21375000 0.16125000 0.21279582
0.19417343 0.21125001 0.19549060 0.21375000
0.21749881 0.21125001 0.21875000 0.21319892
0.22026366 0.21125001 0.22125000 0.21223624
0.21930102 0.21375000 0.21875000 0.21319892
0.22375000 0.21325779 0.22125000 0.21223624
0.22624999 0.21261093 0.22375000 0.21325779
0.22875001 0.21329501 0.22624999 0.21261093
0.22958724 0.21375000 0.22875001 0.21329501
0.23361576 0.21125001 0.23375000 0.21141778
0.23570541 0.21375000 0.23375000 0.21141778
0.23875000 0.21368624 0.23836139 0.21375000
0.24125001 0.21292384 0.23875000 0.21368624
0.24375001 0.21289356 0.24125001 0.21292384
0.24625000 0.21300268 0.24375001 0.21289356
0.24875000 0.21313807 0.24625000 0.21300268
0.24955326 0.21375000 0.24875000 0.21313807
0.28874999 0.21272013 0.28795493 0.21375000
0.29124999 0.21224977 0.28874999 0.21272013
0.29374999 0.21222067 0.29124999 0.21224977
0.29624999 0.21252060 0.29374999 0.21222067
0.29842553 0.21375000 0.29624999 0.21252060
0.30206007 0.21125001 0.30375001 0.21355064
0.30625001 0.21212924 0.30375001 0.21355064
0.30875000 0.21361643 0.30625001 0.21212924
0.30887654 0.21375000 0.30875000 0.21361643
0.31273016 0.21125001 0.31375000 0.21226984
0.31510526 0.21375000 0.31375000 0.21226984
0.38072196 0.21125001 0.38124999 0.21177828
0.38374999 0.21313949 0.38124999 0.21177828
0.38624999 0.21306890 0.38374999 0.21313949
0.38804299 0.21125001 0.38624999 0.21306890
0.00347358 0.21375000 0.00342328 0.21625000
0.01008001 0.21375000 0.01042833 0.21625000
0.03625000 0.21490957 0.03399810 0.21625000
0.03785286 0.21625000 0.03625000 0.21490957
0.05932581 0.21375000 0.05953579 0.21625000
0.06256603 0.21375000 0.06268235 0.21625000
0.07026260 0.21375000 0.07125000 0.21427307
0.07346957 0.21625000 0.07125000 0.21427307
0.07625000 0.21504043 0.07459376 0.21625000
0.07725410 0.21375000 0.07625000 0.21504043
0.10596514 0.21375000 0.10625000 0.21412838
0.10721271 0.21375000 0.10625000 0.21412838
0.13374999 0.21586902 0.13336901 0.21625000
0.13522035 0.21375000 0.13374999 0.21586902
0.13875000 0.21535026 0.13794973 0.21625000
0.13940245 0.21625000 0.13875000 0.21535026
0.14620303 0.21375000 0.14497633 0.21625000
0.15516421 0.21375000 0.15625000 0.21569599
0.15704411 0.21625000 0.15625000 0.21569599
0.16232258 0.21375000 0.16374999 0.21530367
0.16625001 0.21586202 0.16374999 0.21530367
0.16875000 0.21623893 0.16625001 0.21586202
0.16876124 0.21625000 0.16875000 0.21623893
0.19549060 0.21375000 0.19624999 0.21454422
0.19875000 0.21423423 0.19624999 0.21454422
0.20009258 0.21625000 0.19875000 0.21423423
0.21125001 0.21555924 0.21046235 0.21625000
0.21375000 0.21510643 0.21125001 0.21555924
0.21625000 0.21514341 0.21375000 0.21510643
0.21875000 0.21460876 0.21625000 0.21514341
0.21930102 0.21375000 0.21875000 0.21460876
0.22958724 0.21375000 0.23125000 0.21436769
0.23375000 0.21470015 0.23125000 0.21436769
0.23570541 0.21375000 0.23375000 0.21470015
0.23836139 0.21375000 0.23875000 0.21387942
0.24043790 0.21625000 0.23875000 0.21387942
0.24955326 0.21375000 0.25125000 0.21476598
0.25283071 0.21625000 0.25125000 0.21476598
0.28795493 0.21375000 0.28874999 0.21517500
0.29124999 0.21474600 0.28874999 0.21517500
0.29374999 0.21451169 0.29124999 0.21474600
0.29624999 0.21420400 0.29374999 0.21451169
0.29842553 0.21375000 0.29624999 0.21420400
0.30887654 0.21375000 0.31026480 0.21625000
0.31510526 0.21375000 0.31489661 0.21625000
0.00342328 0.21625000 0.00375000 0.21694149
0.00447737 0.21875000 0.00375000 0.21694149
0.01042833 0.21625000 0.01125000 0.21710885
0.01245878 0.21875000 0.01125000 0.21710885
0.03375000 0.21649811 0.03185567 0.21875000
0.03399810 0.21625000 0.03375000 0.21649811
0.03785286 0.21625000 0.03875000 0.21715505
0.04006403 0.21875000 0.03875000 0.21715505
0.05875000 0.21701768 0.05749984 0.21875000
0.05953579 0.21625000 0.05875000 0.21701768
0.06268235 0.21625000 0.06278276 0.21875000
0.07346957 0.21625000 0.07318161 0.21875000
0.07459376 0.21625000 0.07458524 0.21875000
