# Interface data for t = 10.600000
# Method: dalziel
# Grid: 160×200
# ANALYSIS VALIDITY SUMMARY
# Overall Status: VALID
# Cells across mixing layer: 120.0
0.0224665,0.3262500 0.0242733,0.3232267
0.0217592,0.3257408 0.0237500,0.3252476
0.0237500,0.3274712 0.0218214,0.3268214
0.0232950,0.3282950 0.0224665,0.3262500
0.0212500,0.3295540 0.0226414,0.3301414
0.0224426,0.3300574 0.0226644,0.3301644
0.0224391,0.3300609 0.0237500,0.3306631
0.0230083,0.3319917 0.0212500,0.3324821
0.0237500,0.3316924 0.0221853,0.3321853
0.0231041,0.3318959 0.0222134,0.3322134
0.0251832,0.2448168 0.0237500,0.2452902
0.0262500,0.2443349 0.0248920,0.2448920
0.0252583,0.2447417 0.0249078,0.2449078
0.0236787,0.2461787 0.0246546,0.2487500
0.0245495,0.2495495 0.0241586,0.2508414
0.0244131,0.2494131 0.0240857,0.2512500
0.0246546,0.2487500 0.0244133,0.2505867
0.0240857,0.2512500 0.0232750,0.2542250
0.0253978,0.2612500 0.0270456,0.2579544
0.0229544,0.2620456 0.0262500,0.2603978
0.0258107,0.2616893 0.0237500,0.2625647
0.0251867,0.2673133 0.0237500,0.2671549
0.0262500,0.2674478 0.0248301,0.2673301
0.0251439,0.2673561 0.0247671,0.2672671
0.0237500,0.2875279 0.0250838,0.2875838
0.0249230,0.2875770 0.0250918,0.2875918
0.0249162,0.2875838 0.0262500,0.2876447
0.0237500,0.2931897 0.0256687,0.2931687
0.0243165,0.2931835 0.0256544,0.2931544
0.0243313,0.2931687 0.0262500,0.2931480
0.0255669,0.3162500 0.0273837,0.3126163
0.0226159,0.3173841 0.0262500,0.3155668
0.0262500,0.3169333 0.0226150,0.3151150
0.0273832,0.3198832 0.0255669,0.3162500
0.0237500,0.3252476 0.0267451,0.3267451
0.0232547,0.3232547 0.0247524,0.3262500
0.0247524,0.3262500 0.0237099,0.3287901
0.0229458,0.3279458 0.0241927,0.3312500
0.0278631,0.3296369 0.0237500,0.3316924
0.0241927,0.3312500 0.0221314,0.3353686
0.0262500,0.2443349 0.0278026,0.2453026
0.0273694,0.2448694 0.0277843,0.2462500
0.0286900,0.2486900 0.0277843,0.2462500
0.0280873,0.2587500 0.0287195,0.2562805
0.0314112,0.2535888 0.0287500,0.2574556
0.0262500,0.2603978 0.0275902,0.2600902
0.0264459,0.2589459 0.0281963,0.2612500
0.0287500,0.2605257 0.0264459,0.2589459
0.0275902,0.2600902 0.0280873,0.2587500
0.0286210,0.2637500 0.0281126,0.2618874
0.0285726,0.2635726 0.0283636,0.2616364
0.0296839,0.2646839 0.0281963,0.2612500
0.0286305,0.2662500 0.0287239,0.2637761
0.0286348,0.2661348 0.0286164,0.2638836
0.0285418,0.2660418 0.0286210,0.2637500
0.0262500,0.2674478 0.0278762,0.2678762
0.0271522,0.2671522 0.0275142,0.2687500
0.0287500,0.2663628 0.0271522,0.2671522
0.0278762,0.2678762 0.0286305,0.2662500
0.0287500,0.2703015 0.0248658,0.2673658
0.0283519,0.2708519 0.0275142,0.2687500
0.0267362,0.2817362 0.0271469,0.2828531
0.0273159,0.2823159 0.0268648,0.2837500
0.0287500,0.2814320 0.0273159,0.2823159
0.0282756,0.2817244 0.0267362,0.2817362
0.0287167,0.2862500 0.0276059,0.2848941
0.0285659,0.2860659 0.0275906,0.2849094
