# Interface data for t = 4.999000
# Method: dalziel
0.0365886,0.5044315 0.0387469,0.5039013
0.0387469,0.5039013 0.0414953,0.5031501
0.0414953,0.5031501 0.0387469,0.5025174
0.0387469,0.5025174 0.0366024,0.5018813
0.0366024,0.5018813 0.0351162,0.5013776
0.0351162,0.5013776 0.0336980,0.5018813
0.0336980,0.5018813 0.0314730,0.5030367
0.0314730,0.5030367 0.0311461,0.5031501
0.0311461,0.5031501 0.0314730,0.5032952
0.0314730,0.5032952 0.0337889,0.5044315
0.0337889,0.5044315 0.0314730,0.5050215
0.0314730,0.5050215 0.0279433,0.5057255
0.0279433,0.5057255 0.0301817,0.5070320
0.0301817,0.5070320 0.0278172,0.5077408
0.0278172,0.5077408 0.0261200,0.5083511
0.0261200,0.5083511 0.0278172,0.5091497
0.0278172,0.5091497 0.0291525,0.5096828
0.0291525,0.5096828 0.0290035,0.5110270
0.0290035,0.5110270 0.0285622,0.5123838
0.0285622,0.5123838 0.0278172,0.5126255
0.0278172,0.5126255 0.0260218,0.5137531
0.0260218,0.5137531 0.0273574,0.5151351
0.0273574,0.5151351 0.0272457,0.5165295
0.0272457,0.5165295 0.0270438,0.5179366
0.0270438,0.5179366 0.0278172,0.5186755
0.0278172,0.5186755 0.0285393,0.5193562
0.0285393,0.5193562 0.0283861,0.5207883
0.0283861,0.5207883 0.0285667,0.5222330
0.0285667,0.5222330 0.0295391,0.5236903
0.0295391,0.5236903 0.0295406,0.5251602
0.0295406,0.5251602 0.0314730,0.5265227
0.0314730,0.5265227 0.0317675,0.5266426
0.0317675,0.5266426 0.0328600,0.5281376
0.0328600,0.5281376 0.0330704,0.5296451
0.0330704,0.5296451 0.0331141,0.5311652
0.0331141,0.5311652 0.0331469,0.5326979
0.0331469,0.5326979 0.0331798,0.5342431
0.0331798,0.5342431 0.0332133,0.5358009
0.0332133,0.5358009 0.0351162,0.5367842
0.0351162,0.5367842 0.0369666,0.5373712
0.0369666,0.5373712 0.0351162,0.5384895
